,,,,,,,,,,,,,,,downloaded_filename,drive_file_id
65,Book,"Oh, You Bear Cat Rag",Front Cover,Back Cover,1,2,Popular Vocal (piano),Wm. Tracey,Lewis F. Muir,136 West 37 St. NY,J. Fred Helf Company,,1910,Front Cover: A bear with a purple flower necklance around it.,NOT DOWNLOADED: 1rjZU_lQ7SHU9-wHjCWO,1rjZU_lQ7SHU9-wHjCWOyKydTz42Ea0w2
66,Book,O.O.Ohio Song,Front Cover,Back Cover,1,1,Romance,A. Seymour Brown & Eddie Leonard,Nat D. Ayer,Detroit and NY,Jerome H. Remick & Co.,,1910,,NOT DOWNLOADED: 11A_qt_xjrKNZD5fVFao,11A_qt_xjrKNZD5fVFaoTwGQ8arVZrMph
67,Book,Texas Tommy's Dance,Front Cover,Back Cover,1,2,Piano/Dance/Waltz,Edgar Leslie,Lewis F. Muir,136 W 37th St. NY,J. Fred Helf Company,,1911,Front Cover: A man with a cowboy hat and a gun pointed up.,NOT DOWNLOADED: 1kuul7yK7l2u2pEwIkDl,1kuul7yK7l2u2pEwIkDlN6zgQ4XWIphDy
68,Book,That Mesmerizing Mendelssohn Tune,Front Cover,Back Cover,1,1,Romance,Irving Berlin,Irving Berlin,112 W. 38th St. NY,Ted Snyder Co. Inc.,,1909,Front Cover: A colorful picture of a woman looking up in the sky.,NOT DOWNLOADED: 1ofs6L7uhgzjy8tlvitJ,1ofs6L7uhgzjy8tlvitJE5MWfrthbYlDs
69,Book,Out Side of That You're All Right,Front Cover,Back Cover,1,1,Romance,Wm. Tracey,Jas. McGavisk,208 West 42nd St. NY,NYBO Music Publishing Co.,,1910,Front Cover: Blue color details and a picture of a woman standing.,NOT DOWNLOADED: 1SUgdUTnEx8G5T3NSlx6,1SUgdUTnEx8G5T3NSlx6m9VXNRvRfl6eJ
70,Book,Moon Moon Moon Come Out Soon,Front Cover,Back Cover,1,1,Piano,Lester C. Riemer,Lester C. Riemer,"Asbury Park, NJ",Riemer Music Pub. Co.,,1908,Front Cover: A woman looking at the moon.,NOT DOWNLOADED: 16FcV6OMqkdL_g4Ubsv9,16FcV6OMqkdL_g4Ubsv9WKtYFY0NiBqaf
71,Book,Likin Aint't Like Lovin,Front Cover,Back Cover,1,1,Popular Vocal,James Reese Europe,James Reese Europe,51 West 28th St. NY,Victoria Music Co.,,1907,Front Cover: A woman posing side ways with a red outfit.,NOT DOWNLOADED: 17PEbAELb0T4cWFrxULV,17PEbAELb0T4cWFrxULVsdAGDr8drSZiW
72,Book,Sacred Songs,Front Cover,Back Cover,1,6,Religious/Christmas,Fred E. Weatherly,Paul Rodney,,,,,Front Cover: An angel playing a guitar.,NOT DOWNLOADED: 1qggMpmEPODugYlSv-LS,1qggMpmEPODugYlSv-LSQJdSJ4EUsj5iW
73,Sheet,Try These On Your Piano,Front Cover,Back Cover,1,3,Piano,Chas. K. Harris,Chas K. Harris,"31 West 31st Street, NY",Chas. K. Harris Music Publisher,,,,,
74,Book,Would You Care?,Front Cover,Back Cover,1,1,Popular Vocal,Chas. K. Harris,Chas. K. Harris,"31 West 31st Street, NY",Chas. K. Harris Music Publisher,,1905,,NOT DOWNLOADED: 1DR68pFAHo4qnvgoPcrC,1DR68pFAHo4qnvgoPcrCGOWPK67cxcCCJ
75,Book,I Wish I Had A Girl,Front Cover,Back Cover,1,2,Piano,Gus Kahn,Grace Leboy,"268 Wabash Ave. Chicago, IL",Thompson Music Co.,,,Front Cover: A man watching a couple walking on a park.,,
